Age group,Sex,Year,Monthly income
15 - 19,Female,2011,6000
15 - 19,Male,2011,6500
20 - 29,Female,2011,10000
20 - 29,Male,2011,10000
30 - 39,Female,2011,14500
30 - 39,Male,2011,15000
40 - 49,Female,2011,12000
40 - 49,Male,2011,15700
50 - 59,Female,2011,8500
50 - 59,Male,2011,13000
¨R 60,Female,2011,6900
¨R 60,Male,2011,10000
15 - 19,Female,2012,5300
15 - 19,Male,2012,6500
20 - 29,Female,2012,11000
20 - 29,Male,2012,11000
30 - 39,Female,2012,15000
30 - 39,Male,2012,16000
40 - 49,Female,2012,12500
40 - 49,Male,2012,17500
50 - 59,Female,2012,9000
50 - 59,Male,2012,15000
¨R 60,Female,2012,7300
¨R 60,Male,2012,10500
15 - 19,Female,2013,4000
15 - 19,Male,2013,6000
20 - 29,Female,2013,11000
20 - 29,Male,2013,12000
30 - 39,Female,2013,15000
30 - 39,Male,2013,17000
40 - 49,Female,2013,13000
40 - 49,Male,2013,19300
50 - 59,Female,2013,10000
50 - 59,Male,2013,15000
¨R 60,Female,2013,7500
¨R 60,Male,2013,11000
15 - 19,Female,2014,3700
15 - 19,Male,2014,5100
20 - 29,Female,2014,12000
20 - 29,Male,2014,12000
30 - 39,Female,2014,16000
30 - 39,Male,2014,18000
40 - 49,Female,2014,14000
40 - 49,Male,2014,20000
50 - 59,Female,2014,10400
50 - 59,Male,2014,16000
¨R 60,Female,2014,8000
¨R 60,Male,2014,12000
15 - 19,Female,2015,3000
15 - 19,Male,2015,5500
20 - 29,Female,2015,12500
20 - 29,Male,2015,13000
30 - 39,Female,2015,17300
30 - 39,Male,2015,20000
40 - 49,Female,2015,15000
40 - 49,Male,2015,20000
50 - 59,Female,2015,11000
50 - 59,Male,2015,17500
¨R 60,Female,2015,8300
¨R 60,Male,2015,12000
15 - 19,Female,2016,3000
15 - 19,Male,2016,5500
20 - 29,Female,2016,13000
20 - 29,Male,2016,14000
30 - 39,Female,2016,18000
30 - 39,Male,2016,20000
40 - 49,Female,2016,15000
40 - 49,Male,2016,21300
50 - 59,Female,2016,12000
50 - 59,Male,2016,19000
¨R 60,Female,2016,8700
¨R 60,Male,2016,13000
15 - 19,Female,2017,3000
15 - 19,Male,2017,5300
20 - 29,Female,2017,14000
20 - 29,Male,2017,15000
30 - 39,Female,2017,19400
30 - 39,Male,2017,21300
40 - 49,Female,2017,16000
40 - 49,Male,2017,23000
50 - 59,Female,2017,13000
50 - 59,Male,2017,20000
¨R 60,Female,2017,9000
¨R 60,Male,2017,14000
15 - 19,Female,2018,3000
15 - 19,Male,2018,4000
20 - 29,Female,2018,15000
20 - 29,Male,2018,15500
30 - 39,Female,2018,20000
30 - 39,Male,2018,22000
40 - 49,Female,2018,17600
40 - 49,Male,2018,25000
50 - 59,Female,2018,14000
50 - 59,Male,2018,20000
¨R 60,Female,2018,10000
¨R 60,Male,2018,15000
15 - 19,Female,2019,3400
15 - 19,Male,2019,5000
20 - 29,Female,2019,15700
20 - 29,Male,2019,16000
30 - 39,Female,2019,20000
30 - 39,Male,2019,23000
40 - 49,Female,2019,19000
40 - 49,Male,2019,25000
50 - 59,Female,2019,14800
50 - 59,Male,2019,20000
¨R 60,Female,2019,10300
¨R 60,Male,2019,15000
15 - 19,Female,2020,3000
15 - 19,Male,2020,6000
20 - 29,Female,2020,16000
20 - 29,Male,2020,17000
30 - 39,Female,2020,20200
30 - 39,Male,2020,24000
40 - 49,Female,2020,19700
40 - 49,Male,2020,25000
50 - 59,Female,2020,15000
50 - 59,Male,2020,20000
¨R 60,Female,2020,10800
¨R 60,Male,2020,15000
15 - 19,Female,2021,3400
15 - 19,Male,2021,5000
20 - 29,Female,2021,16500
20 - 29,Male,2021,17000
30 - 39,Female,2021,22000
30 - 39,Male,2021,24000
40 - 49,Female,2021,20000
40 - 49,Male,2021,25000
50 - 59,Female,2021,15000
50 - 59,Male,2021,20500
¨R 60,Female,2021,11000
¨R 60,Male,2021,15000
